precinct,voters,current_vspc,potential_targets,underloaded_targets
205,710,Trails Recreation Center,4,0
206,763,Trails Recreation Center,4,0
207,1176,Trails Recreation Center,4,0
213,1052,Trails Recreation Center,4,0
215,699,Trails Recreation Center,4,0
216,946,Trails Recreation Center,4,0
256,522,Trails Recreation Center,4,0
257,1321,Trails Recreation Center,4,0
261,1572,Trails Recreation Center,4,0
262,1338,Trails Recreation Center,4,0
263,1074,Trails Recreation Center,4,0
264,1252,Trails Recreation Center,4,0
265,1082,Trails Recreation Center,4,0
266,1151,Trails Recreation Center,4,0
267,1118,Trails Recreation Center,4,0
268,881,Trails Recreation Center,4,0
269,1095,Trails Recreation Center,4,0
270,981,Trails Recreation Center,4,0
271,798,Trails Recreation Center,4,0
272,890,Trails Recreation Center,4,0
273,906,Trails Recreation Center,4,0
274,1236,Trails Recreation Center,4,0
275,663,Trails Recreation Center,4,0
276,324,Trails Recreation Center,4,0
277,886,Trails Recreation Center,4,0
278,525,Trails Recreation Center,4,0
279,951,Trails Recreation Center,4,0
280,1215,Trails Recreation Center,4,0
281,1217,Trails Recreation Center,4,0
282,1563,Trails Recreation Center,4,0
283,969,Trails Recreation Center,4,0
284,785,Trails Recreation Center,4,0
285,793,Trails Recreation Center,4,0
287,214,Trails Recreation Center,4,0
288,0,Trails Recreation Center,4,0
289,0,Trails Recreation Center,4,0
290,0,Trails Recreation Center,4,0
291,0,Trails Recreation Center,4,0
301,686,Trails Recreation Center,4,0
304,933,Trails Recreation Center,4,0
305,1341,Trails Recreation Center,4,0
306,847,Trails Recreation Center,4,0
307,763,Trails Recreation Center,4,0
308,1246,Trails Recreation Center,4,0
309,1333,Trails Recreation Center,4,0
321,1365,Trails Recreation Center,4,0
327,1245,Trails Recreation Center,4,0
329,1384,Trails Recreation Center,4,0
332,1139,Trails Recreation Center,4,0
333,692,Trails Recreation Center,4,0
334,1441,Trails Recreation Center,4,1
335,1697,Trails Recreation Center,4,1
336,1616,Trails Recreation Center,4,1
337,1473,Trails Recreation Center,4,1
338,991,Trails Recreation Center,4,1
339,1306,Trails Recreation Center,4,0
353,1122,Trails Recreation Center,4,1
368,748,Trails Recreation Center,4,1
369,1690,Trails Recreation Center,4,1
370,1656,Trails Recreation Center,4,0
375,1485,Trails Recreation Center,4,0
377,1104,Trails Recreation Center,4,1
379,1016,Trails Recreation Center,4,0
380,1008,Trails Recreation Center,4,1
382,589,Trails Recreation Center,4,1
383,1282,Trails Recreation Center,4,1
446,816,Trails Recreation Center,4,0
447,1614,Trails Recreation Center,4,0
448,1735,Trails Recreation Center,4,0
461,1325,Trails Recreation Center,4,0
462,1215,Trails Recreation Center,4,0
463,1477,Trails Recreation Center,4,0
464,930,Trails Recreation Center,4,0
