target_vspc,target_current_voters,target_capacity,precinct,precinct_voters,distance_mi,target_status
Arapahoe County Fairgrounds,3169,9404.65625,353,1122,8.16,UNDERLOADED
Arapahoe County Fairgrounds,3169,9404.65625,377,1104,9.07,UNDERLOADED
Arapahoe County Fairgrounds,3169,9404.65625,383,1282,8.05,UNDERLOADED
Parkside Village Retirement Resort,3974,8599.65625,334,1441,6.88,UNDERLOADED
Parkside Village Retirement Resort,3974,8599.65625,335,1697,6.93,UNDERLOADED
Parkside Village Retirement Resort,3974,8599.65625,336,1616,6.3,UNDERLOADED
Parkside Village Retirement Resort,3974,8599.65625,337,1473,6.17,UNDERLOADED
Parkside Village Retirement Resort,3974,8599.65625,338,991,6.2,UNDERLOADED
Parkside Village Retirement Resort,3974,8599.65625,368,748,7.1,UNDERLOADED
Parkside Village Retirement Resort,3974,8599.65625,369,1690,5.38,UNDERLOADED
Parkside Village Retirement Resort,3974,8599.65625,380,1008,7.97,UNDERLOADED
Parkside Village Retirement Resort,3974,8599.65625,382,589,6.53,UNDERLOADED
Smoky Hill Library,10216,2357.65625,205,710,5.9,AT_TARGET
Smoky Hill Library,10216,2357.65625,206,763,3.76,AT_TARGET
Smoky Hill Library,10216,2357.65625,207,1176,4.4,AT_TARGET
Smoky Hill Library,10216,2357.65625,213,1052,5.21,AT_TARGET
Smoky Hill Library,10216,2357.65625,215,699,6.3,AT_TARGET
Smoky Hill Library,10216,2357.65625,216,946,6.53,AT_TARGET
Smoky Hill Library,10216,2357.65625,256,522,3.2,AT_TARGET
Smoky Hill Library,10216,2357.65625,257,1321,3.81,AT_TARGET
Smoky Hill Library,10216,2357.65625,261,1572,4.36,AT_TARGET
Smoky Hill Library,10216,2357.65625,262,1338,4.48,AT_TARGET
Smoky Hill Library,10216,2357.65625,263,1074,4.08,AT_TARGET
Smoky Hill Library,10216,2357.65625,264,1252,4.42,AT_TARGET
Smoky Hill Library,10216,2357.65625,265,1082,6.76,AT_TARGET
Smoky Hill Library,10216,2357.65625,266,1151,8.97,AT_TARGET
Smoky Hill Library,10216,2357.65625,267,1118,5.91,AT_TARGET
Smoky Hill Library,10216,2357.65625,268,881,8.22,AT_TARGET
Smoky Hill Library,10216,2357.65625,269,1095,4.31,AT_TARGET
Smoky Hill Library,10216,2357.65625,270,981,4.31,AT_TARGET
Smoky Hill Library,10216,2357.65625,271,798,4.48,AT_TARGET
Smoky Hill Library,10216,2357.65625,272,890,3.81,AT_TARGET
Smoky Hill Library,10216,2357.65625,273,906,4.05,AT_TARGET
Smoky Hill Library,10216,2357.65625,274,1236,3.76,AT_TARGET
Smoky Hill Library,10216,2357.65625,275,663,4.64,AT_TARGET
Smoky Hill Library,10216,2357.65625,276,324,5.22,AT_TARGET
Smoky Hill Library,10216,2357.65625,277,886,4.99,AT_TARGET
Smoky Hill Library,10216,2357.65625,278,525,4.79,AT_TARGET
Smoky Hill Library,10216,2357.65625,279,951,5.29,AT_TARGET
Smoky Hill Library,10216,2357.65625,280,1215,5.61,AT_TARGET
Smoky Hill Library,10216,2357.65625,281,1217,4.93,AT_TARGET
Smoky Hill Library,10216,2357.65625,282,1563,4.81,AT_TARGET
Smoky Hill Library,10216,2357.65625,283,969,5.7,AT_TARGET
Smoky Hill Library,10216,2357.65625,284,785,3.3,AT_TARGET
Smoky Hill Library,10216,2357.65625,285,793,4.96,AT_TARGET
Smoky Hill Library,10216,2357.65625,287,214,2.91,AT_TARGET
Smoky Hill Library,10216,2357.65625,288,0,4.8,AT_TARGET
Smoky Hill Library,10216,2357.65625,289,0,4.93,AT_TARGET
Smoky Hill Library,10216,2357.65625,290,0,5.18,AT_TARGET
Smoky Hill Library,10216,2357.65625,304,933,5.23,AT_TARGET
Smoky Hill Library,10216,2357.65625,305,1341,5.57,AT_TARGET
Smoky Hill Library,10216,2357.65625,308,1246,5.88,AT_TARGET
Smoky Hill Library,10216,2357.65625,309,1333,5.5,AT_TARGET
Smoky Hill Library,10216,2357.65625,327,1245,7.29,AT_TARGET
Smoky Hill Library,10216,2357.65625,329,1384,7.05,AT_TARGET
Smoky Hill Library,10216,2357.65625,332,1139,6.57,AT_TARGET
Smoky Hill Library,10216,2357.65625,333,692,6.96,AT_TARGET
Smoky Hill Library,10216,2357.65625,375,1485,8.05,AT_TARGET
Smoky Hill Library,10216,2357.65625,379,1016,6.96,AT_TARGET
Smoky Hill Library,10216,2357.65625,448,1735,4.72,AT_TARGET
Tallyns Reach Library,10367,2206.65625,205,710,6.27,AT_TARGET
Tallyns Reach Library,10367,2206.65625,216,946,7.25,AT_TARGET
Tallyns Reach Library,10367,2206.65625,265,1082,6.12,AT_TARGET
Tallyns Reach Library,10367,2206.65625,266,1151,7.58,AT_TARGET
Tallyns Reach Library,10367,2206.65625,267,1118,6.73,AT_TARGET
Tallyns Reach Library,10367,2206.65625,268,881,7.55,AT_TARGET
Tallyns Reach Library,10367,2206.65625,321,1365,5.71,AT_TARGET
Tallyns Reach Library,10367,2206.65625,327,1245,7.2,AT_TARGET
Tallyns Reach Library,10367,2206.65625,329,1384,6.64,AT_TARGET
Tallyns Reach Library,10367,2206.65625,332,1139,5.74,AT_TARGET
Tallyns Reach Library,10367,2206.65625,333,692,5.67,AT_TARGET
Tallyns Reach Library,10367,2206.65625,334,1441,5.46,AT_TARGET
Tallyns Reach Library,10367,2206.65625,335,1697,5.33,AT_TARGET
Tallyns Reach Library,10367,2206.65625,336,1616,4.69,AT_TARGET
Tallyns Reach Library,10367,2206.65625,337,1473,4.78,AT_TARGET
Tallyns Reach Library,10367,2206.65625,338,991,5.06,AT_TARGET
Tallyns Reach Library,10367,2206.65625,339,1306,5.36,AT_TARGET
Tallyns Reach Library,10367,2206.65625,353,1122,6.2,AT_TARGET
Tallyns Reach Library,10367,2206.65625,368,748,5.39,AT_TARGET
Tallyns Reach Library,10367,2206.65625,369,1690,4.44,AT_TARGET
Tallyns Reach Library,10367,2206.65625,370,1656,4.9,AT_TARGET
Tallyns Reach Library,10367,2206.65625,375,1485,6.93,AT_TARGET
Tallyns Reach Library,10367,2206.65625,377,1104,7.35,AT_TARGET
Tallyns Reach Library,10367,2206.65625,379,1016,6.88,AT_TARGET
Tallyns Reach Library,10367,2206.65625,380,1008,6.14,AT_TARGET
Tallyns Reach Library,10367,2206.65625,382,589,5.18,AT_TARGET
Tallyns Reach Library,10367,2206.65625,383,1282,6.29,AT_TARGET
Murphy Creek Golf Course,10570,2003.65625,205,710,5.78,AT_TARGET
Murphy Creek Golf Course,10570,2003.65625,216,946,7.05,AT_TARGET
Murphy Creek Golf Course,10570,2003.65625,265,1082,5.85,AT_TARGET
Murphy Creek Golf Course,10570,2003.65625,266,1151,7.8,AT_TARGET
Murphy Creek Golf Course,10570,2003.65625,267,1118,6.34,AT_TARGET
Murphy Creek Golf Course,10570,2003.65625,268,881,7.65,AT_TARGET
Murphy Creek Golf Course,10570,2003.65625,279,951,5.91,AT_TARGET
Murphy Creek Golf Course,10570,2003.65625,280,1215,5.8,AT_TARGET
Murphy Creek Golf Course,10570,2003.65625,283,969,6.15,AT_TARGET
Murphy Creek Golf Course,10570,2003.65625,301,686,4.19,AT_TARGET
Murphy Creek Golf Course,10570,2003.65625,305,1341,5.41,AT_TARGET
Murphy Creek Golf Course,10570,2003.65625,306,847,4.91,AT_TARGET
Murphy Creek Golf Course,10570,2003.65625,307,763,5.11,AT_TARGET
Murphy Creek Golf Course,10570,2003.65625,308,1246,5.36,AT_TARGET
Murphy Creek Golf Course,10570,2003.65625,309,1333,5.57,AT_TARGET
Murphy Creek Golf Course,10570,2003.65625,321,1365,5.19,AT_TARGET
Murphy Creek Golf Course,10570,2003.65625,327,1245,7.13,AT_TARGET
Murphy Creek Golf Course,10570,2003.65625,329,1384,6.5,AT_TARGET
Murphy Creek Golf Course,10570,2003.65625,332,1139,5.34,AT_TARGET
Murphy Creek Golf Course,10570,2003.65625,333,692,5.39,AT_TARGET
Murphy Creek Golf Course,10570,2003.65625,334,1441,5.24,AT_TARGET
Murphy Creek Golf Course,10570,2003.65625,335,1697,5.23,AT_TARGET
Murphy Creek Golf Course,10570,2003.65625,336,1616,4.58,AT_TARGET
Murphy Creek Golf Course,10570,2003.65625,337,1473,4.53,AT_TARGET
Murphy Creek Golf Course,10570,2003.65625,338,991,4.67,AT_TARGET
Murphy Creek Golf Course,10570,2003.65625,339,1306,4.93,AT_TARGET
Murphy Creek Golf Course,10570,2003.65625,353,1122,6.4,AT_TARGET
Murphy Creek Golf Course,10570,2003.65625,368,748,5.36,AT_TARGET
Murphy Creek Golf Course,10570,2003.65625,369,1690,3.91,AT_TARGET
Murphy Creek Golf Course,10570,2003.65625,370,1656,4.41,AT_TARGET
Murphy Creek Golf Course,10570,2003.65625,375,1485,6.99,AT_TARGET
Murphy Creek Golf Course,10570,2003.65625,377,1104,7.7,AT_TARGET
Murphy Creek Golf Course,10570,2003.65625,379,1016,6.73,AT_TARGET
Murphy Creek Golf Course,10570,2003.65625,380,1008,6.2,AT_TARGET
Murphy Creek Golf Course,10570,2003.65625,382,589,4.91,AT_TARGET
Murphy Creek Golf Course,10570,2003.65625,383,1282,6.63,AT_TARGET
Arapahoe County Lima Plaza,10656,1917.65625,206,763,4.64,AT_TARGET
Arapahoe County Lima Plaza,10656,1917.65625,207,1176,5.24,AT_TARGET
Arapahoe County Lima Plaza,10656,1917.65625,213,1052,6.01,AT_TARGET
Arapahoe County Lima Plaza,10656,1917.65625,215,699,7.04,AT_TARGET
Arapahoe County Lima Plaza,10656,1917.65625,256,522,4.08,AT_TARGET
Arapahoe County Lima Plaza,10656,1917.65625,257,1321,4.73,AT_TARGET
Arapahoe County Lima Plaza,10656,1917.65625,261,1572,5.26,AT_TARGET
Arapahoe County Lima Plaza,10656,1917.65625,262,1338,5.41,AT_TARGET
Arapahoe County Lima Plaza,10656,1917.65625,263,1074,5.01,AT_TARGET
Arapahoe County Lima Plaza,10656,1917.65625,264,1252,5.35,AT_TARGET
