Precinct,Voters,Nearest VSPC,Distance to Nearest VSPC (mi.),Assigned VSPC,Distance to Assigned VSPC (mi.),Distance Difference (mi.),Reassigned,Voters Assigned,Precincts Assigned,Address,City,State,Zip,Precinct Map URL
155,1215,Arapahoe Community College,0.44,Arapahoe Community College,0.44,0.00,False,19216,19,5900 S Santa Fe Dr,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_155.pdf
156,1162,Arapahoe Community College,0.23,Arapahoe Community College,0.23,0.00,False,19216,19,5900 S Santa Fe Dr,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_156.pdf
163,867,Arapahoe Community College,1.64,Arapahoe Community College,1.64,0.00,False,19216,19,5900 S Santa Fe Dr,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_163.pdf
164,848,Arapahoe Community College,1.92,Arapahoe Community College,1.92,0.00,False,19216,19,5900 S Santa Fe Dr,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_164.pdf
165,1054,Arapahoe Community College,0.76,Arapahoe Community College,0.76,0.00,False,19216,19,5900 S Santa Fe Dr,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_165.pdf
166,460,Arapahoe Community College,1.20,Arapahoe Community College,1.20,0.00,False,19216,19,5900 S Santa Fe Dr,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_166.pdf
167,929,Arapahoe Community College,0.96,Arapahoe Community College,0.96,0.00,False,19216,19,5900 S Santa Fe Dr,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_167.pdf
168,973,Arapahoe Community College,0.38,Arapahoe Community College,0.38,0.00,False,19216,19,5900 S Santa Fe Dr,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_168.pdf
169,1123,Arapahoe Community College,0.91,Arapahoe Community College,0.91,0.00,False,19216,19,5900 S Santa Fe Dr,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_169.pdf
170,1206,Arapahoe Community College,1.99,Arapahoe Community College,1.99,0.00,False,19216,19,5900 S Santa Fe Dr,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_170.pdf
171,1509,Arapahoe Community College,0.82,Arapahoe Community College,0.82,0.00,False,19216,19,5900 S Santa Fe Dr,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_171.pdf
172,820,Arapahoe Community College,1.01,Arapahoe Community College,1.01,0.00,False,19216,19,5900 S Santa Fe Dr,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_172.pdf
173,1420,Arapahoe Community College,1.56,Arapahoe Community College,1.56,0.00,False,19216,19,5900 S Santa Fe Dr,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_173.pdf
