Precinct_Lon,Precinct_Lat,US_CONG,CO_SEN,CO_HSE,ARAP,COMM,Precinct,PRECINCT,HYPERLINK,created_us,created_da,last_edite,last_edi_1,Voter_Coun,Voter_Co_1,Shape_Leng,Shape_Area,VSPC_Name,Address,City,State,ZIP,VSPC_Lat,VSPC_Lon,Area_Lead,Precinct_Lead,Hand_Counter_1,Hand_Counter_2,Hand_Counter_3,Hand_Counter_4,Hand_Counter_5,Hand_Counter_6,Hand_Counter_7,Hand_Counter_8,Hand_Counter_9,Hand_Counter_10,VSPC_Rebalanced
-105.017825,39.58834113,6,16,38,3,0,6163803155,155,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_155.pdf,AC,2022/02/02,AC,2025/10/20,1233,2025/10/20,0.07418012097,0.00015560454,Arapahoe Community College,5900 S Santa Fe Dr,Littleton,CO,80120,39.5886,-105.0096,,,,,,,,,,,,,Arapahoe Community College
-105.0119419,39.59139532,6,16,38,3,0,6163803156,156,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_156.pdf,AC,2022/02/02,AC,2025/10/20,1175,2025/10/20,0.04788977759,0.00013182652,Arapahoe Community College,5900 S Santa Fe Dr,Littleton,CO,80120,39.5886,-105.0096,,,,,,,,,,,,,Arapahoe Community College
-104.9904753,39.60721506,6,16,38,3,0,6163803163,163,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_163.pdf,AC,2022/02/02,AC,2025/10/20,884,2025/10/20,0.04734285546,0.00008649911,Arapahoe Community College,5900 S Santa Fe Dr,Littleton,CO,80120,39.5886,-105.0096,,,,,,,,,,,,,Arapahoe Community College
-104.9826956,39.60715588,6,16,38,3,0,6163803164,164,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_164.pdf,AC,2022/02/02,AC,2025/10/20,864,2025/10/20,0.04179046906,0.00007724028,Arapahoe Community College,5900 S Santa Fe Dr,Littleton,CO,80120,39.5886,-105.0096,,,,,,,,,,,,,Arapahoe Community College
-105.0018105,39.59784196,6,16,38,3,0,6163803165,165,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_165.pdf,AC,2022/02/02,AC,2025/10/20,1064,2025/10/20,0.03713424656,0.0000814226,Arapahoe Community College,5900 S Santa Fe Dr,Littleton,CO,80120,39.5886,-105.0096,,,,,,,,,,,,,Arapahoe Community College
-104.9921884,39.59968968,6,16,38,3,0,6163803166,166,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_166.pdf,AC,2022/02/02,AC,2025/10/20,462,2025/10/20,0.0391283871,0.00005657079,Arapahoe Community College,5900 S Santa Fe Dr,Littleton,CO,80120,39.5886,-105.0096,,,,,,,,,,,,,Arapahoe Community College
-104.9927796,39.59363005,6,16,38,3,0,6163803167,167,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_167.pdf,AC,2022/02/02,AC,2025/10/20,955,2025/10/20,0.03531308097,0.00006388044,Arapahoe Community College,5900 S Santa Fe Dr,Littleton,CO,80120,39.5886,-105.0096,,,,,,,,,,,,,Arapahoe Community College
-105.0027118,39.58722366,6,16,38,3,0,6163803168,168,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_168.pdf,AC,2022/02/02,AC,2025/10/20,991,2025/10/20,0.04644649696,0.00012121648,Arapahoe Community College,5900 S Santa Fe Dr,Littleton,CO,80120,39.5886,-105.0096,,,,,,,,,,,,,Arapahoe Community College
-104.9930142,39.58552912,6,16,38,3,0,6163803169,169,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_169.pdf,AC,2022/02/02,AC,2025/10/20,1132,2025/10/20,0.04314226839,0.00009150889,Arapahoe Community College,5900 S Santa Fe Dr,Littleton,CO,80120,39.5886,-105.0096,,,,,,,,,,,,,Arapahoe Community College
-105.0415172,39.57361345,6,16,38,3,0,6163803170,170,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_170.pdf,AC,2022/02/02,AC,2025/10/20,1323,2025/10/20,0.07957125749,0.0003626938,Arapahoe Community College,5900 S Santa Fe Dr,Littleton,CO,80120,39.5886,-105.0096,,,,,,,,,,,,,Arapahoe Community College
