VSPC_Name,Geo_Count,Rebalanced_Count
The Avenue Church,70,69
City of Aurora Municipal Center,39,32
Greenwood Village City Hall,29,28
Englewood Civic Center,29,25
Smoky Hill Library,27,27
Heather Gardens,27,22
Southglenn Library,22,22
Tallyns Reach Library,21,21
Cook Park Recreation Center,21,21
Arapahoe Community College,19,19
Bemis Public Library,18,15
Cherry Creek School District Instructional Support Facility,16,16
Aurora Center for Active Adults,14,12
Arapahoe County Lima Plaza,11,12
Arapahoe County Fairgrounds,7,7
Pickens Technical College,6,11
City of Sheridan Municipal Building,5,12
Mission Viejo Library,5,12
Beck Recreation Center,3,4
Kelver Library,3,3
Parkside Village Retirement Resort,3,4
Aurora Public Schools Professional Learning & Conference Center,2,2
Aurora Public Schools Educational Service Center 4,2,2
Community College of Aurora CentreTech Campus,2,3
Central Recreation Center,1,1
Arapahoe County CentrePoint Plaza,1,1
