Precinct,Voters,Voter Service Polling Center (VSPC),VSPC Total Voters,VSPC Precinct Count,Address,City,State,Zip,Distance From Precinct (mi.),Area Lead,District Captain (DC),Precinct Lead,Hand Counter 1,Hand Counter 2,Hand Counter 3,Hand Counter 4,Hand Counter 5,Hand Counter 6,Hand Counter 7,Hand Counter 8,Hand Counter 9,Hand Counter 10,Hand Counter 11,Hand Counter 12
155,1255,Arapahoe Community College,18678,19,5900 S Santa Fe Dr,Littleton,CO,80120,1.38,,,,,,,,,,,,,,,
156,498,Arapahoe Community College,18678,19,5900 S Santa Fe Dr,Littleton,CO,80120,1.22,,,,,,,,,,,,,,,
163,835,Arapahoe Community College,18678,19,5900 S Santa Fe Dr,Littleton,CO,80120,1.51,,,,,,,,,,,,,,,
164,822,Arapahoe Community College,18678,19,5900 S Santa Fe Dr,Littleton,CO,80120,1.93,,,,,,,,,,,,,,,
165,1050,Arapahoe Community College,18678,19,5900 S Santa Fe Dr,Littleton,CO,80120,1.16,,,,,,,,,,,,,,,
166,458,Arapahoe Community College,18678,19,5900 S Santa Fe Dr,Littleton,CO,80120,1.54,,,,,,,,,,,,,,,
167,947,Arapahoe Community College,18678,19,5900 S Santa Fe Dr,Littleton,CO,80120,1.72,,,,,,,,,,,,,,,
168,962,Arapahoe Community College,18678,19,5900 S Santa Fe Dr,Littleton,CO,80120,1.69,,,,,,,,,,,,,,,
169,1061,Arapahoe Community College,18678,19,5900 S Santa Fe Dr,Littleton,CO,80120,2.09,,,,,,,,,,,,,,,
170,1384,Arapahoe Community College,18678,19,5900 S Santa Fe Dr,Littleton,CO,80120,2.68,,,,,,,,,,,,,,,
171,1494,Arapahoe Community College,18678,19,5900 S Santa Fe Dr,Littleton,CO,80120,2.14,,,,,,,,,,,,,,,
172,837,Arapahoe Community College,18678,19,5900 S Santa Fe Dr,Littleton,CO,80120,2.39,,,,,,,,,,,,,,,
173,1378,Arapahoe Community College,18678,19,5900 S Santa Fe Dr,Littleton,CO,80120,2.79,,,,,,,,,,,,,,,
174,723,Arapahoe Community College,18678,19,5900 S Santa Fe Dr,Littleton,CO,80120,2.48,,,,,,,,,,,,,,,
175,1001,Arapahoe Community College,18678,19,5900 S Santa Fe Dr,Littleton,CO,80120,3.04,,,,,,,,,,,,,,,
176,1377,Arapahoe Community College,18678,19,5900 S Santa Fe Dr,Littleton,CO,80120,2.62,,,,,,,,,,,,,,,
177,994,Arapahoe Community College,18678,19,5900 S Santa Fe Dr,Littleton,CO,80120,2.58,,,,,,,,,,,,,,,
178,884,Arapahoe Community College,18678,19,5900 S Santa Fe Dr,Littleton,CO,80120,2.2,,,,,,,,,,,,,,,
179,718,Arapahoe Community College,18678,19,5900 S Santa Fe Dr,Littleton,CO,80120,2.03,,,,,,,,,,,,,,,
315,1601,Arapahoe County CentrePoint Plaza,12511,9,14980 E Alameda Dr,Aurora,CO,80012,4.56,,,,,,,,,,,,,,,
343,1370,Arapahoe County CentrePoint Plaza,12511,9,14980 E Alameda Dr,Aurora,CO,80012,5.9,,,,,,,,,,,,,,,
344,1681,Arapahoe County CentrePoint Plaza,12511,9,14980 E Alameda Dr,Aurora,CO,80012,5.31,,,,,,,,,,,,,,,
369,1690,Arapahoe County CentrePoint Plaza,12511,9,14980 E Alameda Dr,Aurora,CO,80012,6.37,,,,,,,,,,,,,,,
370,1656,Arapahoe County CentrePoint Plaza,12511,9,14980 E Alameda Dr,Aurora,CO,80012,6.66,,,,,,,,,,,,,,,
450,1338,Arapahoe County CentrePoint Plaza,12511,9,14980 E Alameda Dr,Aurora,CO,80012,4.99,,,,,,,,,,,,,,,
501,1444,Arapahoe County CentrePoint Plaza,12511,9,14980 E Alameda Dr,Aurora,CO,80012,5.02,,,,,,,,,,,,,,,
545,404,Arapahoe County CentrePoint Plaza,12511,9,14980 E Alameda Dr,Aurora,CO,80012,1.01,,,,,,,,,,,,,,,
556,1327,Arapahoe County CentrePoint Plaza,12511,9,14980 E Alameda Dr,Aurora,CO,80012,2.84,,,,,,,,,,,,,,,
334,1441,Arapahoe County Fairgrounds,12166,14,25690 E Quincy Ave,Aurora,CO,80016,2.2,,,,,,,,,,,,,,,
336,1616,Arapahoe County Fairgrounds,12166,14,25690 E Quincy Ave,Aurora,CO,80016,1.44,,,,,,,,,,,,,,,
337,1473,Arapahoe County Fairgrounds,12166,14,25690 E Quincy Ave,Aurora,CO,80016,1.54,,,,,,,,,,,,,,,
348,0,Arapahoe County Fairgrounds,12166,14,25690 E Quincy Ave,Aurora,CO,80016,15.77,,,,,,,,,,,,,,,
355,1989,Arapahoe County Fairgrounds,12166,14,25690 E Quincy Ave,Aurora,CO,80016,4.08,,,,,,,,,,,,,,,
357,733,Arapahoe County Fairgrounds,12166,14,25690 E Quincy Ave,Aurora,CO,80016,8.73,,,,,,,,,,,,,,,
359,0,Arapahoe County Fairgrounds,12166,14,25690 E Quincy Ave,Aurora,CO,80016,7.74,,,,,,,,,,,,,,,
360,508,Arapahoe County Fairgrounds,12166,14,25690 E Quincy Ave,Aurora,CO,80016,5.05,,,,,,,,,,,,,,,
361,976,Arapahoe County Fairgrounds,12166,14,25690 E Quincy Ave,Aurora,CO,80016,6.94,,,,,,,,,,,,,,,
362,477,Arapahoe County Fairgrounds,12166,14,25690 E Quincy Ave,Aurora,CO,80016,8.38,,,,,,,,,,,,,,,
366,475,Arapahoe County Fairgrounds,12166,14,25690 E Quincy Ave,Aurora,CO,80016,13.43,,,,,,,,,,,,,,,
368,748,Arapahoe County Fairgrounds,12166,14,25690 E Quincy Ave,Aurora,CO,80016,2.2,,,,,,,,,,,,,,,
382,589,Arapahoe County Fairgrounds,12166,14,25690 E Quincy Ave,Aurora,CO,80016,1.93,,,,,,,,,,,,,,,
387,1141,Arapahoe County Fairgrounds,12166,14,25690 E Quincy Ave,Aurora,CO,80016,0.72,,,,,,,,,,,,,,,
218,964,Arapahoe County Lima Plaza,12040,12,6954 S Lima St,Centennial,CO,80112,3.13,,,,,,,,,,,,,,,
220,910,Arapahoe County Lima Plaza,12040,12,6954 S Lima St,Centennial,CO,80112,2.94,,,,,,,,,,,,,,,
222,909,Arapahoe County Lima Plaza,12040,12,6954 S Lima St,Centennial,CO,80112,2.77,,,,,,,,,,,,,,,
235,733,Arapahoe County Lima Plaza,12040,12,6954 S Lima St,Centennial,CO,80112,2.29,,,,,,,,,,,,,,,
236,689,Arapahoe County Lima Plaza,12040,12,6954 S Lima St,Centennial,CO,80112,1.74,,,,,,,,,,,,,,,
237,1208,Arapahoe County Lima Plaza,12040,12,6954 S Lima St,Centennial,CO,80112,2.21,,,,,,,,,,,,,,,
238,885,Arapahoe County Lima Plaza,12040,12,6954 S Lima St,Centennial,CO,80112,1.64,,,,,,,,,,,,,,,
239,863,Arapahoe County Lima Plaza,12040,12,6954 S Lima St,Centennial,CO,80112,2.45,,,,,,,,,,,,,,,
240,1681,Arapahoe County Lima Plaza,12040,12,6954 S Lima St,Centennial,CO,80112,1.8,,,,,,,,,,,,,,,
241,1055,Arapahoe County Lima Plaza,12040,12,6954 S Lima St,Centennial,CO,80112,2.68,,,,,,,,,,,,,,,
242,759,Arapahoe County Lima Plaza,12040,12,6954 S Lima St,Centennial,CO,80112,2.22,,,,,,,,,,,,,,,
329,1384,Arapahoe County Lima Plaza,12040,12,6954 S Lima St,Centennial,CO,80112,6.48,,,,,,,,,,,,,,,
503,1827,Aurora Center for Active Adults,14285,14,30 Del Mar Cir,Aurora,CO,80011,1.6,,,,,,,,,,,,,,,
