X,Y,US_CONG,CO_SEN,CO_HSE,ARAP,COMM,COLO_PREC,PRECINCT,HYPERLINK,created_us,created_da,last_edite,last_edi_1,Voter_Coun,Voter_Co_1,Shape_Leng,Shape_Area
-104.210762399125,39.6627431776776,"4","21","56","03","0","4215603364","364",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_364.pdf,AC,2022/02/02,AC,2025/10/20,1647,2025/10/20,0.72245222474,0.02442685737
-104.764246213426,39.7327284150887,"6","28","36","03","0","6283603550","550",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_550.pdf,AC,2022/02/02,AC,2025/10/20,88,2025/10/20,0.15085777827,0.00079909124
-104.795776079895,39.736851814213,"6","28","36","03","0","6283603549","549",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_549.pdf,AC,2022/02/02,AC,2025/10/20,576,2025/10/20,0.03303429663,0.00006416720
-104.804928545816,39.738526076872,"6","28","42","03","0","6284203548","548",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_548.pdf,AC,2022/02/02,AC,2025/10/20,486,2025/10/20,0.02633674977,0.00003092376
-104.813676513228,39.7338549644183,"6","28","42","03","0","6284203531","531",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_531.pdf,AC,2022/02/02,AC,2025/10/20,991,2025/10/20,0.04773905113,0.00009935807
-104.820884626453,39.7323033713758,"6","28","42","03","0","6284203530","530",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_530.pdf,AC,2022/02/02,AC,2025/10/20,1177,2025/10/20,0.04873762188,0.00012236110
-104.829203567757,39.7314721146756,"6","28","42","03","0","6284203527","527",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_527.pdf,AC,2022/02/02,AC,2025/10/20,1253,2025/10/20,0.05243384293,0.00010200766
-104.832638126585,39.7380863101713,"6","28","42","03","0","6284203529","529",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_529.pdf,AC,2022/02/02,AC,2025/10/20,935,2025/10/20,0.02721266456,0.00003665111
-104.841928344943,39.7382939743984,"6","28","42","03","0","6284203528","528",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_528.pdf,AC,2022/02/02,AC,2025/10/20,625,2025/10/20,0.03432715051,0.00004218813
-104.856476537357,39.7365540887293,"6","28","42","03","0","6284203506","506",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_506.pdf,AC,2022/02/02,AC,2025/10/20,1828,2025/10/20,0.05198562842,0.00013699480
-104.875244293774,39.7364978009345,"6","28","42","03","0","6284203503","503",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_503.pdf,AC,2022/02/02,AC,2025/10/20,2073,2025/10/20,0.05230568690,0.00013768244
-104.805424419768,39.7312379456933,"6","28","42","03","0","6284203546","546",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_546.pdf,AC,2022/02/02,AC,2025/10/20,1102,2025/10/20,0.04287284066,0.00010700830
-104.836795287372,39.7318956844004,"6","28","42","03","0","6284203526","526",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_526.pdf,AC,2022/02/02,AC,2025/10/20,904,2025/10/20,0.03590522568,0.00005978659
-104.843193806937,39.7303254757763,"6","28","42","03","0","6284203525","525",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_525.pdf,AC,2022/02/02,AC,2025/10/20,962,2025/10/20,0.04257810536,0.00007978604
-104.795996702544,39.7295402061514,"6","28","36","03","0","6283603547","547",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_547.pdf,AC,2022/02/02,AC,2025/10/20,1173,2025/10/20,0.03457017819,0.00007381675
-104.861473151744,39.7294214073909,"6","28","42","03","0","6284203507","507",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_507.pdf,AC,2022/02/02,AC,2025/10/20,1035,2025/10/20,0.03615422681,0.00006309789
-104.875296164844,39.7292511483527,"6","28","42","03","0","6284203504","504",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_504.pdf,AC,2022/02/02,AC,2025/10/20,1049,2025/10/20,0.05307482853,0.00013699472
-104.800768560533,39.718567273008,"6","28","42","03","0","6284203545","545",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_545.pdf,AC,2022/02/02,AC,2025/10/20,366,2025/10/20,0.07417543904,0.00026177259
-104.814489364082,39.7175851642573,"6","28","42","03","0","6284203533","533",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_533.pdf,AC,2022/02/02,AC,2025/10/20,1605,2025/10/20,0.05064712333,0.00014976580
-105.02253220536,39.6174329407824,"6","16","38","03","0","6163803152","152",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_152.pdf,AC,2022/02/02,AC,2025/10/20,867,2025/10/20,0.03740690395,0.00006432149
-104.835685053799,39.7238882790079,"6","28","42","03","0","6284203524","524",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_524.pdf,AC,2022/02/02,AC,2025/10/20,919,2025/10/20,0.05239113019,0.00007884908
-104.822803980685,39.7179879256389,"6","28","42","03","0","6284203532","532",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_532.pdf,AC,2022/02/02,AC,2025/10/20,1003,2025/10/20,0.04187426279,0.00009866678
