VSPC_Name,Address,City,State,ZIP,VSPC_Latitude,VSPC_Longitude
Arapahoe Community College,5900 S Santa Fe Dr,Littleton,CO,80120,39.608274887955744,-105.0188881082992
Arapahoe County CentrePoint Plaza,14980 E Alameda Dr,Aurora,CO,80012,39.70860795,-104.81461664928948
Arapahoe County Fairgrounds,25690 E Quincy Ave,Aurora,CO,80016,39.632476350000005,-104.69075931046848
Arapahoe County Lima Plaza,6954 S Lima St,Centennial,CO,80112,39.5900791,-104.8562932105346
Aurora Center for Active Adults,30 Del Mar Cir,Aurora,CO,80011,39.7250763,-104.84906311815512
Aurora Public Schools Educational Service Center 4,1085 Peoria St,Aurora,CO,80011,39.7324447,-104.84769160358528
Aurora Public Schools Professional Learning & Conference Center,15771 E 1st Ave,Aurora,CO,80011,39.7379115,-104.8047471
Beck Recreation Center,800 Telluride St,Aurora,CO,80011,39.73019755,-104.77960599699811
Bemis Public Library,6014 S Datura St,Littleton,CO,80120,39.6078848,-105.00383935799624
Central Recreation Center,18150 E Vassar Pl,Aurora,CO,80013,39.6681265,-104.77568968349712
Cherry Creek School District Instructional Support Facility,5416 S Riviera Way,Centennial,CO,80112,39.61952655,-104.73735585028658
City of Aurora Municipal Center,15151 E Alameda Pkwy,Aurora,CO,80012,39.710781749999995,-104.81245082732995
City of Glendale Municipal Building,950 S. Birch Street,Glendale,CO,80246,39.69907835,-104.9360130442936
City of Sheridan Municipal Building,4101 S Federal Blvd,Sheridan,CO,80110,39.642952,-105.0048363
Community College of Aurora CentreTech Campus,16000 E CentreTech Pkwy,Aurora,CO,80011,39.7198806,-104.8033578
Community College of Aurora Lowry Campus,710 Alton Way,Denver,CO,80230,39.70285055,-104.87936073162714
Cook Park Recreation Center,7100 Cherry Creek S Dr,Denver,CO,80224,39.68705635,-104.90884223115305
Englewood Civic Center,1000 Englewood Pkwy,Englewood,CO,80110,39.6482059,-104.9879641
Greenwood Village City Hall,6060 S Quebec St,Greenwood Village,CO,80111,39.60647535,-104.90316411237174
Heather Gardens,2888 S Heather Gardens Way,Aurora,CO,80014,39.6633027,-104.83135721723364
Kelver Library,585 S Main St,Byers,CO,80103,39.7034082,-104.22391942510468
"Martin Luther King, Jr. Library",9898 E. Colfax Ave,Aurora,CO,80010,39.7396593,-104.873538
Mission Viejo Library,15324 E Hampden Cir,Aurora,CO,80013,39.6505973,-104.80942108033182
Murphy Creek Golf Course,1700 S. Old Tom Morris Rd.,Aurora,CO,80018,39.68376285,-104.70951626061334
Parkside Village Retirement Resort,14501 E Crestline Dr,Aurora,CO,80015,39.76474305,-104.81859374488128
Pickens Technical College,500 Airport Blvd Bldg E,Aurora,CO,80011,39.7074375,-104.7902797529364
Smoky Hill Library,5430 S Biscay Cir,Centennial,CO,80015,39.6179981,-104.7673381
Southglenn Library,6972 S Vine St,Centennial,CO,80122,39.5706569,-104.84429426377652
Tallyns Reach Library,23911 E Arapahoe Rd,Aurora,CO,80016,39.5905132,-104.709239
The Avenue Church,13231 E Mississippi Ave,Aurora,CO,80012,39.6637013,-104.836746
Trails Recreation Center,16799 E. Lake Ave.,Centennial,CO,80016,39.6097939,-104.79484339638424
Vista PEAK,24500 E. 6th Ave,Aurora,CO,80018,39.72395355,-104.7015489568284
