Primary Captain District,Precinct,Voters,Nearest VSPC,Distance to Nearest VSPC (mi.),Assigned VSPC,Distance to Assigned VSPC (mi.),Distance Difference (mi.),Reassigned,Voters Assigned,Precincts Assigned,Address,City,State,Zip,Precinct Map URL
1,101,1549,City of Sheridan Municipal Building,0.54,City of Sheridan Municipal Building,0.54,0.0,False,11507,11,4101 S Federal Blvd,Sheridan,CO,80110,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_101.pdf
1,102,1272,City of Sheridan Municipal Building,0.73,City of Sheridan Municipal Building,0.73,0.0,False,11507,11,4101 S Federal Blvd,Sheridan,CO,80110,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_102.pdf
1,103,810,City of Sheridan Municipal Building,0.23,City of Sheridan Municipal Building,0.23,0.0,False,11507,11,4101 S Federal Blvd,Sheridan,CO,80110,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_103.pdf
1,104,823,Englewood Civic Center,0.94,Englewood Civic Center,0.94,0.0,False,20885,22,1000 Englewood Pkwy,Englewood,CO,80110,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_104.pdf
1,105,1773,Englewood Civic Center,0.56,Englewood Civic Center,0.56,0.0,False,20885,22,1000 Englewood Pkwy,Englewood,CO,80110,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_105.pdf
1,106,520,Englewood Civic Center,0.14,Englewood Civic Center,0.14,0.0,False,20885,22,1000 Englewood Pkwy,Englewood,CO,80110,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_106.pdf
2,107,944,Englewood Civic Center,0.86,Englewood Civic Center,0.86,0.0,False,20885,22,1000 Englewood Pkwy,Englewood,CO,80110,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_107.pdf
2,108,706,Englewood Civic Center,1.28,Englewood Civic Center,1.28,0.0,False,20885,22,1000 Englewood Pkwy,Englewood,CO,80110,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_108.pdf
2,109,652,Englewood Civic Center,1.52,Englewood Civic Center,1.52,0.0,False,20885,22,1000 Englewood Pkwy,Englewood,CO,80110,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_109.pdf
2,110,517,Englewood Civic Center,1.89,Englewood Civic Center,1.89,0.0,False,20885,22,1000 Englewood Pkwy,Englewood,CO,80110,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_110.pdf
2,111,1322,Englewood Civic Center,1.01,Englewood Civic Center,1.01,0.0,False,20885,22,1000 Englewood Pkwy,Englewood,CO,80110,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_111.pdf
2,112,919,Englewood Civic Center,1.12,Englewood Civic Center,1.12,0.0,False,20885,22,1000 Englewood Pkwy,Englewood,CO,80110,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_112.pdf
2,113,710,Englewood Civic Center,2.05,Englewood Civic Center,2.05,0.0,False,20885,22,1000 Englewood Pkwy,Englewood,CO,80110,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_113.pdf
2,114,886,Englewood Civic Center,1.61,Englewood Civic Center,1.61,0.0,False,20885,22,1000 Englewood Pkwy,Englewood,CO,80110,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_114.pdf
1,115,1244,Englewood Civic Center,0.42,Englewood Civic Center,0.42,0.0,False,20885,22,1000 Englewood Pkwy,Englewood,CO,80110,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_115.pdf
1,116,1275,Englewood Civic Center,0.92,Englewood Civic Center,0.92,0.0,False,20885,22,1000 Englewood Pkwy,Englewood,CO,80110,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_116.pdf
3,117,1227,Englewood Civic Center,0.96,Englewood Civic Center,0.96,0.0,False,20885,22,1000 Englewood Pkwy,Englewood,CO,80110,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_117.pdf
3,118,901,Englewood Civic Center,1.03,Englewood Civic Center,1.03,0.0,False,20885,22,1000 Englewood Pkwy,Englewood,CO,80110,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_118.pdf
3,119,874,Englewood Civic Center,1.34,Englewood Civic Center,1.34,0.0,False,20885,22,1000 Englewood Pkwy,Englewood,CO,80110,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_119.pdf
1,120,817,Englewood Civic Center,1.01,Englewood Civic Center,1.01,0.0,False,20885,22,1000 Englewood Pkwy,Englewood,CO,80110,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_120.pdf
1,121,608,Englewood Civic Center,1.3,Englewood Civic Center,1.3,0.0,False,20885,22,1000 Englewood Pkwy,Englewood,CO,80110,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_121.pdf
3,122,1313,City of Sheridan Municipal Building,0.84,City of Sheridan Municipal Building,0.84,0.0,False,11507,11,4101 S Federal Blvd,Sheridan,CO,80110,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_122.pdf
3,123,1038,Englewood Civic Center,1.58,Englewood Civic Center,1.58,0.0,False,20885,22,1000 Englewood Pkwy,Englewood,CO,80110,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_123.pdf
3,124,1093,Bemis Public Library,1.34,Bemis Public Library,1.34,0.0,False,20676,23,6014 S Datura St,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_124.pdf
3,125,581,Bemis Public Library,1.22,Bemis Public Library,1.22,0.0,False,20676,23,6014 S Datura St,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_125.pdf
5,126,965,Bemis Public Library,1.0,Bemis Public Library,1.0,0.0,False,20676,23,6014 S Datura St,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_126.pdf
7,127,680,Southglenn Library,1.14,Southglenn Library,1.14,0.0,False,19803,24,6972 S Vine St,Centennial,CO,80122,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_127.pdf
3,128,425,Bemis Public Library,1.46,Bemis Public Library,1.46,0.0,False,20676,23,6014 S Datura St,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_128.pdf
3,129,664,Bemis Public Library,1.7,Bemis Public Library,1.7,0.0,False,20676,23,6014 S Datura St,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_129.pdf
3,130,1003,Englewood Civic Center,1.7,Englewood Civic Center,1.7,0.0,False,20885,22,1000 Englewood Pkwy,Englewood,CO,80110,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_130.pdf
2,131,1015,Englewood Civic Center,2.25,Englewood Civic Center,2.25,0.0,False,20885,22,1000 Englewood Pkwy,Englewood,CO,80110,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_131.pdf
2,132,1111,Englewood Civic Center,2.18,Englewood Civic Center,2.18,0.0,False,20885,22,1000 Englewood Pkwy,Englewood,CO,80110,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_132.pdf
2,133,1012,Greenwood Village City Hall,2.65,Greenwood Village City Hall,2.65,0.0,False,16033,21,6060 S Quebec St,Greenwood Village,CO,80111,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_133.pdf
2,134,578,Cook Park Recreation Center,3.21,Cook Park Recreation Center,3.21,0.0,False,16862,20,7100 Cherry Creek S Dr,Denver,CO,80224,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_134.pdf
2,135,386,Greenwood Village City Hall,1.89,Greenwood Village City Hall,1.89,0.0,False,16033,21,6060 S Quebec St,Greenwood Village,CO,80111,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_135.pdf
2,136,931,Greenwood Village City Hall,2.69,Greenwood Village City Hall,2.69,0.0,False,16033,21,6060 S Quebec St,Greenwood Village,CO,80111,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_136.pdf
19,137,922,Cook Park Recreation Center,1.78,Cook Park Recreation Center,1.78,0.0,False,16862,20,7100 Cherry Creek S Dr,Denver,CO,80224,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_137.pdf
19,138,421,Cook Park Recreation Center,1.27,Cook Park Recreation Center,1.27,0.0,False,16862,20,7100 Cherry Creek S Dr,Denver,CO,80224,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_138.pdf
19,139,716,Cook Park Recreation Center,1.43,Cook Park Recreation Center,1.43,0.0,False,16862,20,7100 Cherry Creek S Dr,Denver,CO,80224,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_139.pdf
7,140,746,Southglenn Library,1.4,Southglenn Library,1.4,0.0,False,19803,24,6972 S Vine St,Centennial,CO,80122,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_140.pdf
4,141,471,City of Sheridan Municipal Building,1.74,City of Sheridan Municipal Building,1.74,0.0,False,11507,11,4101 S Federal Blvd,Sheridan,CO,80110,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_141.pdf
4,142,942,City of Sheridan Municipal Building,1.47,City of Sheridan Municipal Building,1.47,0.0,False,11507,11,4101 S Federal Blvd,Sheridan,CO,80110,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_142.pdf
4,143,1494,Arapahoe Community College,0.93,Arapahoe Community College,0.93,0.0,False,20725,17,5900 S Santa Fe Dr,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_143.pdf
4,144,835,Arapahoe Community College,1.4,Arapahoe Community College,1.4,0.0,False,20725,17,5900 S Santa Fe Dr,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_144.pdf
,145,1176,Southglenn Library,0.94,Arapahoe Community College,3.74,2.8,True,20725,17,5900 S Santa Fe Dr,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_145.pdf
4,146,825,Arapahoe Community College,1.57,Arapahoe Community College,1.57,0.0,False,20725,17,5900 S Santa Fe Dr,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_146.pdf
4,147,1493,Arapahoe Community College,1.79,Arapahoe Community College,1.79,0.0,False,20725,17,5900 S Santa Fe Dr,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_147.pdf
9,148,1043,Southglenn Library,1.55,Arapahoe County Lima Plaza,4.29,2.74,True,20444,17,6954 S Lima St,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_148.pdf
4,149,1462,Arapahoe Community College,1.08,Arapahoe Community College,1.08,0.0,False,20725,17,5900 S Santa Fe Dr,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_149.pdf
6,150,1247,Arapahoe Community College,1.33,Arapahoe Community College,1.33,0.0,False,20725,17,5900 S Santa Fe Dr,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_150.pdf
4,151,932,Arapahoe Community College,1.08,Arapahoe Community College,1.08,0.0,False,20725,17,5900 S Santa Fe Dr,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_151.pdf
4,152,839,Arapahoe Community College,0.66,Arapahoe Community College,0.66,0.0,False,20725,17,5900 S Santa Fe Dr,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_152.pdf
