Voter Service Polling Center (VSPC),VSPC Total Voters,VSPC Precinct Count,Address,City,State,Zip,Area Lead,District Captain (DC),Precinct Lead,Hand Counter 1,Hand Counter 2,Hand Counter 3,Hand Counter 4,Hand Counter 5,Hand Counter 6,Hand Counter 7,Hand Counter 8,Hand Counter 9,Hand Counter 10,Hand Counter 11,Hand Counter 12,Total Precincts
Arapahoe Community College,18678,19,5900 S Santa Fe Dr,Littleton,CO,80120,,,,,,,,,,,,,,,,19
Arapahoe County CentrePoint Plaza,12511,9,14980 E Alameda Dr,Aurora,CO,80012,,,,,,,,,,,,,,,,9
Arapahoe County Fairgrounds,12166,14,25690 E Quincy Ave,Aurora,CO,80016,,,,,,,,,,,,,,,,14
Arapahoe County Lima Plaza,12040,12,6954 S Lima St,Centennial,CO,80112,,,,,,,,,,,,,,,,12
Aurora Center for Active Adults,14285,14,30 Del Mar Cir,Aurora,CO,80011,,,,,,,,,,,,,,,,14
Aurora Public Schools Educational Service Center 4,4502,4,1085 Peoria St,Aurora,CO,80011,,,,,,,,,,,,,,,,4
Aurora Public Schools Professional Learning & Conference Center,7681,8,15771 E 1st Ave,Aurora,CO,80011,,,,,,,,,,,,,,,,8
Beck Recreation Center,12237,10,800 Telluride St,Aurora,CO,80011,,,,,,,,,,,,,,,,10
Bemis Public Library,17318,18,6014 S Datura St,Littleton,CO,80120,,,,,,,,,,,,,,,,18
Central Recreation Center,11724,12,18150 E Vassar Pl,Aurora,CO,80013,,,,,,,,,,,,,,,,12
Cherry Creek School District Instructional Support Facility,14779,16,5416 S Riviera Way,Centennial,CO,80112,,,,,,,,,,,,,,,,16
City of Aurora Municipal Center,19126,24,15151 E Alameda Pkwy,Aurora,CO,80012,,,,,,,,,,,,,,,,24
City of Sheridan Municipal Building,12436,11,4101 S Federal Blvd,Sheridan,CO,80110,,,,,,,,,,,,,,,,11
Community College of Aurora CentreTech Campus,12167,10,16000 E CentreTech Pkwy,Aurora,CO,80011,,,,,,,,,,,,,,,,10
Cook Park Recreation Center,18792,20,7100 Cherry Creek S Dr,Denver,CO,80224,,,,,,,,,,,,,,,,20
Englewood Civic Center,19785,25,1000 Englewood Pkwy,Englewood,CO,80110,,,,,,,,,,,,,,,,25
Greenwood Village City Hall,27430,26,6060 S Quebec St,Greenwood Village,CO,80111,,,,,,,,,,,,,,,,26
Heather Gardens,18901,20,2888 S Heather Gardens Way,Aurora,CO,80014,,,,,,,,,,,,,,,,20
Kelver Library,4433,3,585 S Main St,Byers,CO,80103,,,,,,,,,,,,,,,,3
Mission Viejo Library,12506,9,15324 E Hampden Cir,Aurora,CO,80013,,,,,,,,,,,,,,,,9
Parkside Village Retirement Resort,12194,9,14501 E Crestline Dr,Aurora,CO,80015,,,,,,,,,,,,,,,,9
Pickens Technical College,12326,10,500 Airport Blvd Bldg E,Aurora,CO,80011,,,,,,,,,,,,,,,,10
Smoky Hill Library,28927,27,5430 S Biscay Cir,Centennial,CO,80015,,,,,,,,,,,,,,,,27
Southglenn Library,19688,22,6972 S Vine St,Centennial,CO,80122,,,,,,,,,,,,,,,,22
Tallyns Reach Library,20050,20,23911 E Arapahoe Rd,Aurora,CO,80016,,,,,,,,,,,,,,,,20
The Avenue Church,25675,31,13231 E Mississippi Ave,Aurora,CO,80012,,,,,,,,,,,,,,,,31
