VSPC,Primary Captain District,Primary DC % of Precincts,Secondary Captain District,Secondary DC % of Precincts
Arapahoe Community College,4,0.8,6,0.5
Arapahoe County CentrePoint Plaza,15,0.2727,,
Arapahoe County Fairgrounds,29,0.6364,,
Arapahoe County Lima Plaza,11,0.6364,,
Aurora Center for Active Adults,14,0.6364,,
Aurora Public Schools - Educational Service Center 4,13,0.6,,
Aurora Public Schools - Professional Learning and Conference Center,16,0.25,,
Bemis Public Library,5,0.9091,3,0.4
Central Recreation Center,27,0.5385,22,0.3571
Cherry Creek School District - Instructional Support Facility,32,0.4615,28,0.25
City of Aurora Municipal Center,16,0.375,,
City of Glendale Municipal Building,2,0.3333,,
City of Sheridan Municipal Building,1,0.3,,
Community College of Aurora - CentreTech Campus,16,0.25,,
Cook Park Recreation Center,20,1.0,,
Englewood Civic Center,2,0.6,2,0.6
Greenwood Village City Hall,10,0.6923,9,0.2308
Heather Gardens Clubhouse,23,0.8333,,
Kelver Library,35,0.3636,,
"Martin Luther King, Jr. Library",13,0.2,,
Mission Viejo Library,24,0.5,,
Murphy Creek Golf Course,17,0.25,,
Parkside Village Retirement Resort,25,0.6364,,
Pickens Technical College,17,0.4167,,
Smoky Hill Library,31,0.5556,26,0.2308
South Metro Fire Rescue Headquarters,12,0.5833,12,0.5833
Southglenn Library,8,0.5833,7,0.5455
Space & Cafe at Arapahoe Libraries,32,0.3077,,
Tallyn's Reach Library,34,0.75,,
The Avenue Church,21,0.5385,,
Trails Recreation Center,30,0.6667,30,0.6667
Vista PEAK Preparatory School,18,0.5,,
