Assigned VSPC,Voters Assigned,Precincts Assigned,Address,City,State,ZIP,Primary Captain District,Secondary Captain District
Arapahoe Community College,20577,17,5900 S Santa Fe Dr,Littleton,CO,80120,4,6
Arapahoe County CentrePoint Plaza,11452,11,14980 E Alameda Dr,Aurora,CO,80012,15,
Arapahoe County Fairgrounds,18968,15,25690 E Quincy Ave,Aurora,CO,80016,29,
Arapahoe County Lima Plaza,11235,9,6954 S Lima St,Centennial,CO,80112,11,
Aurora Center for Active Adults,9891,11,30 Del Mar Cir,Aurora,CO,80011,14,
Aurora Public Schools - Educational Service Center 4,6195,6,1085 Peoria St,Aurora,CO,80011,13,
Aurora Public Schools - Professional Learning and Conference Center,3651,4,15771 E 1st Ave,Aurora,CO,80011,16,
Bemis Public Library,20676,23,6014 S Datura St,Littleton,CO,80120,5,3
Central Recreation Center,15868,19,18150 E Vassar Pl,Aurora,CO,80013,27,22
Cherry Creek School District - Instructional Support Facility,17261,12,5416 S Riviera Way,Centennial,CO,80112,32,28
City of Aurora Municipal Center,10008,9,15151 E Alameda Pkwy,Aurora,CO,80012,16,
City of Glendale Municipal Building,10093,10,950 S. Birch Street,Glendale,CO,80246,2,
City of Sheridan Municipal Building,10893,10,4101 S Federal Blvd,Sheridan,CO,80110,1,
Community College of Aurora - CentreTech Campus,10167,8,16000 E CentreTech Pkwy,Aurora,CO,80011,16,
Cook Park Recreation Center,14790,18,7100 Cherry Creek S Dr,Denver,CO,80224,20,
Englewood Civic Center,15271,18,1000 Englewood Pkwy,Englewood,CO,80110,2,2
Greenwood Village City Hall,19735,20,6060 S Quebec St,Greenwood Village,CO,80111,10,9
Heather Gardens Clubhouse,15171,18,2888 S Heather Gardens Way,Aurora,CO,80014,23,
Kelver Library,4667,4,585 S Main St,Byers,CO,80103,35,
"Martin Luther King, Jr. Library",3023,2,9898 E. Colfax Ave,Aurora,CO,80010,13,
Mission Viejo Library,15448,15,15324 E Hampden Cir,Aurora,CO,80013,24,
Murphy Creek Golf Course,14073,9,1700 S. Old Tom Morris Rd.,Aurora,CO,80018,17,
Parkside Village Retirement Resort,11313,10,14501 E Crestline Dr,Aurora,CO,80015,25,
Pickens Technical College,4252,5,500 Airport Blvd Bldg E,Aurora,CO,80011,17,
Smoky Hill Library,20838,18,5430 S Biscay Cir,Centennial,CO,80015,31,26
South Metro Fire Rescue Headquarters,17660,17,9195 E. Mineral Ave.,Centennial,CO,80112,12,12
Southglenn Library,15728,21,6972 S Vine St,Centennial,CO,80122,8,7
Space & Cafe at Arapahoe Libraries,10256,7,12855 E. Adam Aircraft Cir.,Englewood,CO,80112,32,
Tallyn's Reach Library,14891,13,23911 E Arapahoe Rd,Aurora,CO,80016,34,
The Avenue Church,18737,18,13231 E Mississippi Ave,Aurora,CO,80012,21,
Trails Recreation Center,17536,20,16799 E. Lake Ave.,Centennial,CO,80016,30,30
Vista PEAK Preparatory School,9026,6,24500 E. 6th Ave,Aurora,CO,80018,18,
